Date,Open,High,Low,Close,Adj Close,Volume
2014-10-15,7768.180176,7814.200195,7619.709961,7787.790039,7787.790039,0
2014-10-16,7715.370117,7852.399902,7673.299805,7796.020020,7796.020020,0
2014-10-17,7873.120117,7938.609863,7858.859863,7897.600098,7897.600098,0
2014-10-20,7872.009766,7951.229980,7872.009766,7946.879883,7946.879883,0
2014-10-21,7988.470215,8083.709961,7983.250000,8075.410156,8075.410156,0
2014-10-22,8084.069824,8107.970215,8015.930176,8017.089844,8017.089844,0
2014-10-23,8089.049805,8148.279785,8084.399902,8101.879883,8101.879883,0
2014-10-24,8110.189941,8160.000000,8087.279785,8157.540039,8157.540039,0
2014-10-27,8140.910156,8154.270020,8104.359863,8138.479980,8138.479980,0
2014-10-28,8166.109863,8220.599609,8156.589844,8220.599609,8220.599609,0
2014-10-29,8233.889648,8257.969727,8167.000000,8217.290039,8217.290039,0
2014-10-30,8207.790039,8304.950195,8195.610352,8286.929688,8286.929688,0
2014-10-31,8342.250000,8374.580078,8330.900391,8373.410156,8373.410156,0
2014-11-03,8375.629883,8391.120117,8345.750000,8361.400391,8361.400391,0
2014-11-04,8349.540039,8354.769531,8299.129883,8343.669922,8343.669922,0
2014-11-05,8396.750000,8404.570313,8361.240234,8404.570313,8404.570313,0
2014-11-06,8404.570313,8439.309570,8376.969727,8438.549805,8438.549805,0
2014-11-07,8433.599609,8453.030273,8412.480469,8442.269531,8442.269531,0
2014-11-10,8444.919922,8471.129883,8434.070313,8470.730469,8470.730469,0
2014-11-11,8473.929688,8482.589844,8457.940430,8470.469727,8470.469727,0
2014-11-12,8470.469727,8470.469727,8435.150391,8457.339844,8457.339844,0
2014-11-13,8458.929688,8490.120117,8421.559570,8458.200195,8458.200195,0
2014-11-14,8456.870117,8470.589844,8438.639648,8455.320313,8455.320313,0
2014-11-17,8442.879883,8474.730469,8436.830078,8466.839844,8466.839844,0
2014-11-18,8469.620117,8523.660156,8464.849609,8503.030273,8503.030273,0
2014-11-19,8501.360352,8513.830078,8470.990234,8505.099609,8505.099609,0
2014-11-20,8475.440430,8510.269531,8469.179688,8505.120117,8505.120117,0
2014-11-21,8505.120117,8590.639648,8505.120117,8561.330078,8561.330078,0
2014-11-24,8570.410156,8589.299805,8551.379883,8565.750000,8565.750000,0
2014-11-25,8575.900391,8577.809570,8539.070313,8548.049805,8548.049805,0
2014-11-26,8553.519531,8567.769531,8542.990234,8565.879883,8565.879883,0
2014-11-28,8529.870117,8559.959961,8517.360352,8527.580078,8527.580078,0
2014-12-01,8500.259766,8513.120117,8473.639648,8490.929688,8490.929688,0
2014-12-02,8491.009766,8559.410156,8491.009766,8550.900391,8550.900391,0
2014-12-03,8553.089844,8583.059570,8546.019531,8575.879883,8575.879883,0
2014-12-04,8560.610352,8580.809570,8515.660156,8566.700195,8566.700195,0
2014-12-05,8573.679688,8607.759766,8567.660156,8592.589844,8592.589844,0
2014-12-08,8573.019531,8587.650391,8512.230469,8534.870117,8534.870117,0
2014-12-09,8534.870117,8534.870117,8416.780273,8481.469727,8481.469727,0
2014-12-10,8478.620117,8478.620117,8364.169922,8370.700195,8370.700195,0
2014-12-11,8382.799805,8491.379883,8382.799805,8407.259766,8407.259766,0
2014-12-12,8407.259766,8407.259766,8250.910156,8250.910156,8250.910156,0
2014-12-15,8292.009766,8319.320313,8173.209961,8205.330078,8205.330078,0
2014-12-16,8177.729980,8339.070313,8153.810059,8155.229980,8155.229980,0
2014-12-17,8177.620117,8329.400391,8176.910156,8317.969727,8317.969727,0
2014-12-18,8419.379883,8529.040039,8402.540039,8529.040039,8529.040039,0
2014-12-19,8527.009766,8593.139648,8521.679688,8565.919922,8565.919922,0
2014-12-22,8565.919922,8607.099609,8564.290039,8605.150391,8605.150391,0
2014-12-23,8624.950195,8646.660156,8616.049805,8628.120117,8628.120117,0
2014-12-24,8639.000000,8647.150391,8622.480469,8622.480469,8622.480469,0
2014-12-26,8636.900391,8661.870117,8636.900391,8639.349609,8639.349609,0
2014-12-29,8631.400391,8657.009766,8621.820313,8642.360352,8642.360352,0
2014-12-30,8625.400391,8627.889648,8605.400391,8612.160156,8612.160156,0
2014-12-31,8618.139648,8622.769531,8523.410156,8527.040039,8527.040039,0
